Tweet,Sarcasm,word_tokens,char_tokens,sentence_tokens,subword_tokens,lemmatized_tweet
But he was a fat kid and no girls ever paid attention to him. He was owed.,yes,"['but', 'he', 'was', 'a', 'fat', 'kid', 'and', 'no', 'girls', 'ever', 'paid', 'attention', 'to', 'him', '.', 'he', 'was', 'owed', '.']","['B', 'u', 't', ' ', 'h', 'e', ' ', 'w', 'a', 's', ' ', 'a', ' ', 'f', 'a', 't', ' ', 'k', 'i', 'd', ' ', 'a', 'n', 'd', ' ', 'n', 'o', ' ', 'g', 'i', 'r', 'l', 's', ' ', 'e', 'v', 'e', 'r', ' ', 'p', 'a', 'i', 'd', ' ', 'a', 't', 't', 'e', 'n', 't', 'i', 'o', 'n', ' ', 't', 'o', ' ', 'h', 'i', 'm', '.', ' ', 'H', 'e', ' ', 'w', 'a', 's', ' ', 'o', 'w', 'e', 'd', '.']","['But he was a fat kid and no girls ever paid attention to him.', 'He was owed.']","['but', 'he', 'was', 'a', 'fat', 'kid', 'and', 'no', 'girls', 'ever', 'paid', 'attention', 'to', 'him', '.', 'he', 'was', 'owed', '.']",But he wa a fat kid and no girl ever paid attention to him . He wa owed .
My favorite thing is when Luis opens my snaps but does not snap me back... enraged_face,yes,"['my', 'favorite', 'thing', 'is', 'when', 'luis', 'opens', 'my', 'snaps', 'but', 'does', 'not', 'snap', 'me', 'back', '.', '.', '.', 'enraged', '_', 'face']","['M', 'y', ' ', 'f', 'a', 'v', 'o', 'r', 'i', 't', 'e', ' ', 't', 'h', 'i', 'n', 'g', ' ', 'i', 's', ' ', 'w', 'h', 'e', 'n', ' ', 'L', 'u', 'i', 's', ' ', 'o', 'p', 'e', 'n', 's', ' ', 'm', 'y', ' ', 's', 'n', 'a', 'p', 's', ' ', 'b', 'u', 't', ' ', 'd', 'o', 'e', 's', ' ', 'n', 'o', 't', ' ', 's', 'n', 'a', 'p', ' ', 'm', 'e', ' ', 'b', 'a', 'c', 'k', '.', '.', '.', ' ', 'e', 'n', 'r', 'a', 'g', 'e', 'd', '_', 'f', 'a', 'c', 'e']",['My favorite thing is when Luis opens my snaps but does not snap me back... enraged_face'],"['my', 'favorite', 'thing', 'is', 'when', 'luis', 'opens', 'my', 'snaps', 'but', 'does', 'not', 'snap', 'me', 'back', '.', '.', '.', 'enraged', '_', 'face']",My favorite thing is when Luis open my snap but doe not snap me back ... enraged_face
Do you know what I love Explaining the same shit over and over again to the same people. THAT is what I love.,no,"['do', 'you', 'know', 'what', 'i', 'love', 'explaining', 'the', 'same', 'shit', 'over', 'and', 'over', 'again', 'to', 'the', 'same', 'people', '.', 'that', 'is', 'what', 'i', 'love', '.']","['D', 'o', ' ', 'y', 'o', 'u', ' ', 'k', 'n', 'o', 'w', ' ', 'w', 'h', 'a', 't', ' ', 'I', ' ', 'l', 'o', 'v', 'e', ' ', 'E', 'x', 'p', 'l', 'a', 'i', 'n', 'i', 'n', 'g', ' ', 't', 'h', 'e', ' ', 's', 'a', 'm', 'e', ' ', 's', 'h', 'i', 't', ' ', 'o', 'v', 'e', 'r', ' ', 'a', 'n', 'd', ' ', 'o', 'v', 'e', 'r', ' ', 'a', 'g', 'a', 'i', 'n', ' ', 't', 'o', ' ', 't', 'h', 'e', ' ', 's', 'a', 'm', 'e', ' ', 'p', 'e', 'o', 'p', 'l', 'e', '.', ' ', 'T', 'H', 'A', 'T', ' ', 'i', 's', ' ', 'w', 'h', 'a', 't', ' ', 'I', ' ', 'l', 'o', 'v', 'e', '.']","['Do you know what I love Explaining the same shit over and over again to the same people.', 'THAT is what I love.']","['do', 'you', 'know', 'what', 'i', 'love', 'explaining', 'the', 'same', 'shit', 'over', 'and', 'over', 'again', 'to', 'the', 'same', 'people', '.', 'that', 'is', 'what', 'i', 'love', '.']",Do you know what I love Explaining the same shit over and over again to the same people . THAT is what I love .
"Like Rachel and Jen, are not they the same thing",yes,"['like', 'rachel', 'and', 'jen', ',', 'are', 'not', 'they', 'the', 'same', 'thing']","['L', 'i', 'k', 'e', ' ', 'R', 'a', 'c', 'h', 'e', 'l', ' ', 'a', 'n', 'd', ' ', 'J', 'e', 'n', ',', ' ', 'a', 'r', 'e', ' ', 'n', 'o', 't', ' ', 't', 'h', 'e', 'y', ' ', 't', 'h', 'e', ' ', 's', 'a', 'm', 'e', ' ', 't', 'h', 'i', 'n', 'g']","['Like Rachel and Jen, are not they the same thing']","['like', 'rachel', 'and', 'jen', ',', 'are', 'not', 'they', 'the', 'same', 'thing']","Like Rachel and Jen , are not they the same thing"
Just got 15 emails about a Facebook conversation in which I was actively involved.Thanks for telling me.,yes,"['just', 'got', '15', 'emails', 'about', 'a', 'facebook', 'conversation', 'in', 'which', 'i', 'was', 'actively', 'involved', '.', 'thanks', 'for', 'telling', 'me', '.']","['J', 'u', 's', 't', ' ', 'g', 'o', 't', ' ', '1', '5', ' ', 'e', 'm', 'a', 'i', 'l', 's', ' ', 'a', 'b', 'o', 'u', 't', ' ', 'a', ' ', 'F', 'a', 'c', 'e', 'b', 'o', 'o', 'k', ' ', 'c', 'o', 'n', 'v', 'e', 'r', 's', 'a', 't', 'i', 'o', 'n', ' ', 'i', 'n', ' ', 'w', 'h', 'i', 'c', 'h', ' ', 'I', ' ', 'w', 'a', 's', ' ', 'a', 'c', 't', 'i', 'v', 'e', 'l', 'y', ' ', 'i', 'n', 'v', 'o', 'l', 'v', 'e', 'd', '.', 'T', 'h', 'a', 'n', 'k', 's', ' ', 'f', 'o', 'r', ' ', 't', 'e', 'l', 'l', 'i', 'n', 'g', ' ', 'm', 'e', '.']",['Just got 15 emails about a Facebook conversation in which I was actively involved.Thanks for telling me.'],"['just', 'got', '15', 'emails', 'about', 'a', 'facebook', 'conversation', 'in', 'which', 'i', 'was', 'actively', 'involved', '.', 'thanks', 'for', 'telling', 'me', '.']",Just got 15 email about a Facebook conversation in which I wa actively involved.Thanks for telling me .
"Proof he cannot relate to his players, he should just know what they like.",yes,"['proof', 'he', 'cannot', 'relate', 'to', 'his', 'players', ',', 'he', 'should', 'just', 'know', 'what', 'they', 'like', '.']","['P', 'r', 'o', 'o', 'f', ' ', 'h', 'e', ' ', 'c', 'a', 'n', 'n', 'o', 't', ' ', 'r', 'e', 'l', 'a', 't', 'e', ' ', 't', 'o', ' ', 'h', 'i', 's', ' ', 'p', 'l', 'a', 'y', 'e', 'r', 's', ',', ' ', 'h', 'e', ' ', 's', 'h', 'o', 'u', 'l', 'd', ' ', 'j', 'u', 's', 't', ' ', 'k', 'n', 'o', 'w', ' ', 'w', 'h', 'a', 't', ' ', 't', 'h', 'e', 'y', ' ', 'l', 'i', 'k', 'e', '.']","['Proof he cannot relate to his players, he should just know what they like.']","['proof', 'he', 'cannot', 'relate', 'to', 'his', 'players', ',', 'he', 'should', 'just', 'know', 'what', 'they', 'like', '.']","Proof he can not relate to his player , he should just know what they like ."
Its such a hard task having to lounge on the sofa with my baby sleeping on me,yes,"['its', 'such', 'a', 'hard', 'task', 'having', 'to', 'lounge', 'on', 'the', 'sofa', 'with', 'my', 'baby', 'sleeping', 'on', 'me']","['I', 't', 's', ' ', 's', 'u', 'c', 'h', ' ', 'a', ' ', 'h', 'a', 'r', 'd', ' ', 't', 'a', 's', 'k', ' ', 'h', 'a', 'v', 'i', 'n', 'g', ' ', 't', 'o', ' ', 'l', 'o', 'u', 'n', 'g', 'e', ' ', 'o', 'n', ' ', 't', 'h', 'e', ' ', 's', 'o', 'f', 'a', ' ', 'w', 'i', 't', 'h', ' ', 'm', 'y', ' ', 'b', 'a', 'b', 'y', ' ', 's', 'l', 'e', 'e', 'p', 'i', 'n', 'g', ' ', 'o', 'n', ' ', 'm', 'e']",['Its such a hard task having to lounge on the sofa with my baby sleeping on me'],"['its', 'such', 'a', 'hard', 'task', 'having', 'to', 'lounge', 'on', 'the', 'sofa', 'with', 'my', 'baby', 'sleeping', 'on', 'me']",Its such a hard task having to lounge on the sofa with my baby sleeping on me
gpro is a recession proof stock. Didnt they teach you that on the 12k CFP course,yes,"['gp', '##ro', 'is', 'a', 'recession', 'proof', 'stock', '.', 'didn', '##t', 'they', 'teach', 'you', 'that', 'on', 'the', '12', '##k', 'cf', '##p', 'course']","['g', 'p', 'r', 'o', ' ', 'i', 's', ' ', 'a', ' ', 'r', 'e', 'c', 'e', 's', 's', 'i', 'o', 'n', ' ', 'p', 'r', 'o', 'o', 'f', ' ', 's', 't', 'o', 'c', 'k', '.', ' ', 'D', 'i', 'd', 'n', 't', ' ', 't', 'h', 'e', 'y', ' ', 't', 'e', 'a', 'c', 'h', ' ', 'y', 'o', 'u', ' ', 't', 'h', 'a', 't', ' ', 'o', 'n', ' ', 't', 'h', 'e', ' ', '1', '2', 'k', ' ', 'C', 'F', 'P', ' ', 'c', 'o', 'u', 'r', 's', 'e']","['gpro is a recession proof stock.', 'Didnt they teach you that on the 12k CFP course']","['gp', '##ro', 'is', 'a', 'recession', 'proof', 'stock', '.', 'didn', '##t', 'they', 'teach', 'you', 'that', 'on', 'the', '12', '##k', 'cf', '##p', 'course']",gpro is a recession proof stock . Didnt they teach you that on the 12k CFP course
Tonight I learned that Miley smokes potface_with_tears_of_joy,yes,"['tonight', 'i', 'learned', 'that', 'mile', '##y', 'smoke', '##s', 'pot', '##face', '_', 'with', '_', 'tears', '_', 'of', '_', 'joy']","['T', 'o', 'n', 'i', 'g', 'h', 't', ' ', 'I', ' ', 'l', 'e', 'a', 'r', 'n', 'e', 'd', ' ', 't', 'h', 'a', 't', ' ', 'M', 'i', 'l', 'e', 'y', ' ', 's', 'm', 'o', 'k', 'e', 's', ' ', 'p', 'o', 't', 'f', 'a', 'c', 'e', '_', 'w', 'i', 't', 'h', '_', 't', 'e', 'a', 'r', 's', '_', 'o', 'f', '_', 'j', 'o', 'y']",['Tonight I learned that Miley smokes potface_with_tears_of_joy'],"['tonight', 'i', 'learned', 'that', 'mile', '##y', 'smoke', '##s', 'pot', '##face', '_', 'with', '_', 'tears', '_', 'of', '_', 'joy']",Tonight I learned that Miley smoke potface_with_tears_of_joy
it also would have been included in reservation system of country,yes,"['it', 'also', 'would', 'have', 'been', 'included', 'in', 'reservation', 'system', 'of', 'country']","['i', 't', ' ', 'a', 'l', 's', 'o', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'h', 'a', 'v', 'e', ' ', 'b', 'e', 'e', 'n', ' ', 'i', 'n', 'c', 'l', 'u', 'd', 'e', 'd', ' ', 'i', 'n', ' ', 'r', 'e', 's', 'e', 'r', 'v', 'a', 't', 'i', 'o', 'n', ' ', 's', 'y', 's', 't', 'e', 'm', ' ', 'o', 'f', ' ', 'c', 'o', 'u', 'n', 't', 'r', 'y']",['it also would have been included in reservation system of country'],"['it', 'also', 'would', 'have', 'been', 'included', 'in', 'reservation', 'system', 'of', 'country']",it also would have been included in reservation system of country
That shitty feeling we all love so much smiling_face_with_smiling_eyes,yes,"['that', 'shitty', 'feeling', 'we', 'all', 'love', 'so', 'much', 'smiling', '_', 'face', '_', 'with', '_', 'smiling', '_', 'eyes']","['T', 'h', 'a', 't', ' ', 's', 'h', 'i', 't', 't', 'y', ' ', 'f', 'e', 'e', 'l', 'i', 'n', 'g', ' ', 'w', 'e', ' ', 'a', 'l', 'l', ' ', 'l', 'o', 'v', 'e', ' ', 's', 'o', ' ', 'm', 'u', 'c', 'h', ' ', 's', 'm', 'i', 'l', 'i', 'n', 'g', '_', 'f', 'a', 'c', 'e', '_', 'w', 'i', 't', 'h', '_', 's', 'm', 'i', 'l', 'i', 'n', 'g', '_', 'e', 'y', 'e', 's']",['That shitty feeling we all love so much smiling_face_with_smiling_eyes'],"['that', 'shitty', 'feeling', 'we', 'all', 'love', 'so', 'much', 'smiling', '_', 'face', '_', 'with', '_', 'smiling', '_', 'eyes']",That shitty feeling we all love so much smiling_face_with_smiling_eyes
par for the course eh Grab a weapon and have at er I say!,yes,"['par', 'for', 'the', 'course', 'eh', 'grab', 'a', 'weapon', 'and', 'have', 'at', 'er', 'i', 'say', '!']","['p', 'a', 'r', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'e', ' ', 'c', 'o', 'u', 'r', 's', 'e', ' ', 'e', 'h', ' ', 'G', 'r', 'a', 'b', ' ', 'a', ' ', 'w', 'e', 'a', 'p', 'o', 'n', ' ', 'a', 'n', 'd', ' ', 'h', 'a', 'v', 'e', ' ', 'a', 't', ' ', 'e', 'r', ' ', 'I', ' ', 's', 'a', 'y', '!']",['par for the course eh Grab a weapon and have at er I say!'],"['par', 'for', 'the', 'course', 'eh', 'grab', 'a', 'weapon', 'and', 'have', 'at', 'er', 'i', 'say', '!']",par for the course eh Grab a weapon and have at er I say !
I am so funny pensive_faceexpressionless_face,yes,"['i', 'am', 'so', 'funny', 'pens', '##ive', '_', 'face', '##ex', '##press', '##ion', '##less', '_', 'face']","['I', ' ', 'a', 'm', ' ', 's', 'o', ' ', 'f', 'u', 'n', 'n', 'y', ' ', 'p', 'e', 'n', 's', 'i', 'v', 'e', '_', 'f', 'a', 'c', 'e', 'e', 'x', 'p', 'r', 'e', 's', 's', 'i', 'o', 'n', 'l', 'e', 's', 's', '_', 'f', 'a', 'c', 'e']",['I am so funny pensive_faceexpressionless_face'],"['i', 'am', 'so', 'funny', 'pens', '##ive', '_', 'face', '##ex', '##press', '##ion', '##less', '_', 'face']",I am so funny pensive_faceexpressionless_face
Tribes having a team meeting yes because the last one worked so well,yes,"['tribes', 'having', 'a', 'team', 'meeting', 'yes', 'because', 'the', 'last', 'one', 'worked', 'so', 'well']","['T', 'r', 'i', 'b', 'e', 's', ' ', 'h', 'a', 'v', 'i', 'n', 'g', ' ', 'a', ' ', 't', 'e', 'a', 'm', ' ', 'm', 'e', 'e', 't', 'i', 'n', 'g', ' ', 'y', 'e', 's', ' ', 'b', 'e', 'c', 'a', 'u', 's', 'e', ' ', 't', 'h', 'e', ' ', 'l', 'a', 's', 't', ' ', 'o', 'n', 'e', ' ', 'w', 'o', 'r', 'k', 'e', 'd', ' ', 's', 'o', ' ', 'w', 'e', 'l', 'l']",['Tribes having a team meeting yes because the last one worked so well'],"['tribes', 'having', 'a', 'team', 'meeting', 'yes', 'because', 'the', 'last', 'one', 'worked', 'so', 'well']",Tribes having a team meeting yes because the last one worked so well
Really! How long did it take them to come to this mindboggling realisation...Pffffffffff. YES I am being sarcastic!,yes,"['really', '!', 'how', 'long', 'did', 'it', 'take', 'them', 'to', 'come', 'to', 'this', 'mind', '##bo', '##gg', '##ling', 'real', '##isation', '.', '.', '.', 'p', '##ff', '##ff', '##ff', '##ff', '##ff', '.', 'yes', 'i', 'am', 'being', 'sarcastic', '!']","['R', 'e', 'a', 'l', 'l', 'y', '!', ' ', 'H', 'o', 'w', ' ', 'l', 'o', 'n', 'g', ' ', 'd', 'i', 'd', ' ', 'i', 't', ' ', 't', 'a', 'k', 'e', ' ', 't', 'h', 'e', 'm', ' ', 't', 'o', ' ', 'c', 'o', 'm', 'e', ' ', 't', 'o', ' ', 't', 'h', 'i', 's', ' ', 'm', 'i', 'n', 'd', 'b', 'o', 'g', 'g', 'l', 'i', 'n', 'g', ' ', 'r', 'e', 'a', 'l', 'i', 's', 'a', 't', 'i', 'o', 'n', '.', '.', '.', 'P', 'f', 'f', 'f', 'f', 'f', 'f', 'f', 'f', 'f', 'f', '.', ' ', 'Y', 'E', 'S', ' ', 'I', ' ', 'a', 'm', ' ', 'b', 'e', 'i', 'n', 'g', ' ', 's', 'a', 'r', 'c', 'a', 's', 't', 'i', 'c', '!']","['Really!', 'How long did it take them to come to this mindboggling realisation...Pffffffffff.', 'YES I am being sarcastic!']","['really', '!', 'how', 'long', 'did', 'it', 'take', 'them', 'to', 'come', 'to', 'this', 'mind', '##bo', '##gg', '##ling', 'real', '##isation', '.', '.', '.', 'p', '##ff', '##ff', '##ff', '##ff', '##ff', '.', 'yes', 'i', 'am', 'being', 'sarcastic', '!']",Really ! How long did it take them to come to this mindboggling realisation ... Pffffffffff . YES I am being sarcastic !
Waited 30min in the scorching sun for the M9 and both went out of service. Thanks for the great service MTA!,yes,"['waited', '30', '##min', 'in', 'the', 'sc', '##or', '##ching', 'sun', 'for', 'the', 'm', '##9', 'and', 'both', 'went', 'out', 'of', 'service', '.', 'thanks', 'for', 'the', 'great', 'service', 'mt', '##a', '!']","['W', 'a', 'i', 't', 'e', 'd', ' ', '3', '0', 'm', 'i', 'n', ' ', 'i', 'n', ' ', 't', 'h', 'e', ' ', 's', 'c', 'o', 'r', 'c', 'h', 'i', 'n', 'g', ' ', 's', 'u', 'n', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'e', ' ', 'M', '9', ' ', 'a', 'n', 'd', ' ', 'b', 'o', 't', 'h', ' ', 'w', 'e', 'n', 't', ' ', 'o', 'u', 't', ' ', 'o', 'f', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e', '.', ' ', 'T', 'h', 'a', 'n', 'k', 's', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'e', ' ', 'g', 'r', 'e', 'a', 't', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e', ' ', 'M', 'T', 'A', '!']","['Waited 30min in the scorching sun for the M9 and both went out of service.', 'Thanks for the great service MTA!']","['waited', '30', '##min', 'in', 'the', 'sc', '##or', '##ching', 'sun', 'for', 'the', 'm', '##9', 'and', 'both', 'went', 'out', 'of', 'service', '.', 'thanks', 'for', 'the', 'great', 'service', 'mt', '##a', '!']",Waited 30min in the scorching sun for the M9 and both went out of service . Thanks for the great service MTA !
Can you guess what these methods do Meaningful Method Names,yes,"['can', 'you', 'guess', 'what', 'these', 'methods', 'do', 'meaningful', 'method', 'names']","['C', 'a', 'n', ' ', 'y', 'o', 'u', ' ', 'g', 'u', 'e', 's', 's', ' ', 'w', 'h', 'a', 't', ' ', 't', 'h', 'e', 's', 'e', ' ', 'm', 'e', 't', 'h', 'o', 'd', 's', ' ', 'd', 'o', ' ', 'M', 'e', 'a', 'n', 'i', 'n', 'g', 'f', 'u', 'l', ' ', 'M', 'e', 't', 'h', 'o', 'd', ' ', 'N', 'a', 'm', 'e', 's']",['Can you guess what these methods do Meaningful Method Names'],"['can', 'you', 'guess', 'what', 'these', 'methods', 'do', 'meaningful', 'method', 'names']",Can you guess what these method do Meaningful Method Names
never texts me back. Hes the real NVP.,yes,"['never', 'texts', 'me', 'back', '.', 'he', '##s', 'the', 'real', 'n', '##v', '##p', '.']","['n', 'e', 'v', 'e', 'r', ' ', 't', 'e', 'x', 't', 's', ' ', 'm', 'e', ' ', 'b', 'a', 'c', 'k', '.', ' ', 'H', 'e', 's', ' ', 't', 'h', 'e', ' ', 'r', 'e', 'a', 'l', ' ', 'N', 'V', 'P', '.']","['never texts me back.', 'Hes the real NVP.']","['never', 'texts', 'me', 'back', '.', 'he', '##s', 'the', 'real', 'n', '##v', '##p', '.']",never text me back . Hes the real NVP .
So glad he is a presidential candidate....,yes,"['so', 'glad', 'he', 'is', 'a', 'presidential', 'candidate', '.', '.', '.', '.']","['S', 'o', ' ', 'g', 'l', 'a', 'd', ' ', 'h', 'e', ' ', 'i', 's', ' ', 'a', ' ', 'p', 'r', 'e', 's', 'i', 'd', 'e', 'n', 't', 'i', 'a', 'l', ' ', 'c', 'a', 'n', 'd', 'i', 'd', 'a', 't', 'e', '.', '.', '.', '.']",['So glad he is a presidential candidate....'],"['so', 'glad', 'he', 'is', 'a', 'presidential', 'candidate', '.', '.', '.', '.']",So glad he is a presidential candidate ....
"See, this is what happens when one forgets ones hashtags.",yes,"['see', ',', 'this', 'is', 'what', 'happens', 'when', 'one', 'forget', '##s', 'ones', 'hash', '##tag', '##s', '.']","['S', 'e', 'e', ',', ' ', 't', 'h', 'i', 's', ' ', 'i', 's', ' ', 'w', 'h', 'a', 't', ' ', 'h', 'a', 'p', 'p', 'e', 'n', 's', ' ', 'w', 'h', 'e', 'n', ' ', 'o', 'n', 'e', ' ', 'f', 'o', 'r', 'g', 'e', 't', 's', ' ', 'o', 'n', 'e', 's', ' ', 'h', 'a', 's', 'h', 't', 'a', 'g', 's', '.']","['See, this is what happens when one forgets ones hashtags.']","['see', ',', 'this', 'is', 'what', 'happens', 'when', 'one', 'forget', '##s', 'ones', 'hash', '##tag', '##s', '.']","See , this is what happens when one forgets one hashtags ."
TN govt sues Jayalalitha for commenting on Ammas ill health when she said she could not attend kalams funeral,yes,"['tn', 'govt', 'sue', '##s', 'jaya', '##lal', '##itha', 'for', 'commenting', 'on', 'am', '##mas', 'ill', 'health', 'when', 'she', 'said', 'she', 'could', 'not', 'attend', 'kala', '##ms', 'funeral']","['T', 'N', ' ', 'g', 'o', 'v', 't', ' ', 's', 'u', 'e', 's', ' ', 'J', 'a', 'y', 'a', 'l', 'a', 'l', 'i', 't', 'h', 'a', ' ', 'f', 'o', 'r', ' ', 'c', 'o', 'm', 'm', 'e', 'n', 't', 'i', 'n', 'g', ' ', 'o', 'n', ' ', 'A', 'm', 'm', 'a', 's', ' ', 'i', 'l', 'l', ' ', 'h', 'e', 'a', 'l', 't', 'h', ' ', 'w', 'h', 'e', 'n', ' ', 's', 'h', 'e', ' ', 's', 'a', 'i', 'd', ' ', 's', 'h', 'e', ' ', 'c', 'o', 'u', 'l', 'd', ' ', 'n', 'o', 't', ' ', 'a', 't', 't', 'e', 'n', 'd', ' ', 'k', 'a', 'l', 'a', 'm', 's', ' ', 'f', 'u', 'n', 'e', 'r', 'a', 'l']",['TN govt sues Jayalalitha for commenting on Ammas ill health when she said she could not attend kalams funeral'],"['tn', 'govt', 'sue', '##s', 'jaya', '##lal', '##itha', 'for', 'commenting', 'on', 'am', '##mas', 'ill', 'health', 'when', 'she', 'said', 'she', 'could', 'not', 'attend', 'kala', '##ms', 'funeral']",TN govt sue Jayalalitha for commenting on Ammas ill health when she said she could not attend kalams funeral
Cant wait to hear big Sam on,yes,"['can', '##t', 'wait', 'to', 'hear', 'big', 'sam', 'on']","['C', 'a', 'n', 't', ' ', 'w', 'a', 'i', 't', ' ', 't', 'o', ' ', 'h', 'e', 'a', 'r', ' ', 'b', 'i', 'g', ' ', 'S', 'a', 'm', ' ', 'o', 'n']",['Cant wait to hear big Sam on'],"['can', '##t', 'wait', 'to', 'hear', 'big', 'sam', 'on']",Cant wait to hear big Sam on
Now it feels more like a proper  game... Penalties galore!,yes,"['now', 'it', 'feels', 'more', 'like', 'a', 'proper', 'game', '.', '.', '.', 'penalties', 'gal', '##ore', '!']","['N', 'o', 'w', ' ', 'i', 't', ' ', 'f', 'e', 'e', 'l', 's', ' ', 'm', 'o', 'r', 'e', ' ', 'l', 'i', 'k', 'e', ' ', 'a', ' ', 'p', 'r', 'o', 'p', 'e', 'r', ' ', ' ', 'g', 'a', 'm', 'e', '.', '.', '.', ' ', 'P', 'e', 'n', 'a', 'l', 't', 'i', 'e', 's', ' ', 'g', 'a', 'l', 'o', 'r', 'e', '!']",['Now it feels more like a proper  game... Penalties galore!'],"['now', 'it', 'feels', 'more', 'like', 'a', 'proper', 'game', '.', '.', '.', 'penalties', 'gal', '##ore', '!']",Now it feel more like a proper game ... Penalties galore !
Disappointing PLL Finale and the news of Reyes on TXF.....what an amazing night,yes,"['disappointing', 'pl', '##l', 'finale', 'and', 'the', 'news', 'of', 'reyes', 'on', 'tx', '##f', '.', '.', '.', '.', '.', 'what', 'an', 'amazing', 'night']","['D', 'i', 's', 'a', 'p', 'p', 'o', 'i', 'n', 't', 'i', 'n', 'g', ' ', 'P', 'L', 'L', ' ', 'F', 'i', 'n', 'a', 'l', 'e', ' ', 'a', 'n', 'd', ' ', 't', 'h', 'e', ' ', 'n', 'e', 'w', 's', ' ', 'o', 'f', ' ', 'R', 'e', 'y', 'e', 's', ' ', 'o', 'n', ' ', 'T', 'X', 'F', '.', '.', '.', '.', '.', 'w', 'h', 'a', 't', ' ', 'a', 'n', ' ', 'a', 'm', 'a', 'z', 'i', 'n', 'g', ' ', 'n', 'i', 'g', 'h', 't']",['Disappointing PLL Finale and the news of Reyes on TXF.....what an amazing night'],"['disappointing', 'pl', '##l', 'finale', 'and', 'the', 'news', 'of', 'reyes', 'on', 'tx', '##f', '.', '.', '.', '.', '.', 'what', 'an', 'amazing', 'night']",Disappointing PLL Finale and the news of Reyes on TXF ..... what an amazing night
damn them socialists for wanting there party back  how dare they,yes,"['damn', 'them', 'socialists', 'for', 'wanting', 'there', 'party', 'back', 'how', 'dare', 'they']","['d', 'a', 'm', 'n', ' ', 't', 'h', 'e', 'm', ' ', 's', 'o', 'c', 'i', 'a', 'l', 'i', 's', 't', 's', ' ', 'f', 'o', 'r', ' ', 'w', 'a', 'n', 't', 'i', 'n', 'g', ' ', 't', 'h', 'e', 'r', 'e', ' ', 'p', 'a', 'r', 't', 'y', ' ', 'b', 'a', 'c', 'k', ' ', ' ', 'h', 'o', 'w', ' ', 'd', 'a', 'r', 'e', ' ', 't', 'h', 'e', 'y']",['damn them socialists for wanting there party back  how dare they'],"['damn', 'them', 'socialists', 'for', 'wanting', 'there', 'party', 'back', 'how', 'dare', 'they']",damn them socialist for wanting there party back how dare they
Did you know tomorrow is  ...it sounds like last wks debate has provided lots of great material. Cant wait.,yes,"['did', 'you', 'know', 'tomorrow', 'is', '.', '.', '.', 'it', 'sounds', 'like', 'last', 'w', '##ks', 'debate', 'has', 'provided', 'lots', 'of', 'great', 'material', '.', 'can', '##t', 'wait', '.']","['D', 'i', 'd', ' ', 'y', 'o', 'u', ' ', 'k', 'n', 'o', 'w', ' ', 't', 'o', 'm', 'o', 'r', 'r', 'o', 'w', ' ', 'i', 's', ' ', ' ', '.', '.', '.', 'i', 't', ' ', 's', 'o', 'u', 'n', 'd', 's', ' ', 'l', 'i', 'k', 'e', ' ', 'l', 'a', 's', 't', ' ', 'w', 'k', 's', ' ', 'd', 'e', 'b', 'a', 't', 'e', ' ', 'h', 'a', 's', ' ', 'p', 'r', 'o', 'v', 'i', 'd', 'e', 'd', ' ', 'l', 'o', 't', 's', ' ', 'o', 'f', ' ', 'g', 'r', 'e', 'a', 't', ' ', 'm', 'a', 't', 'e', 'r', 'i', 'a', 'l', '.', ' ', 'C', 'a', 'n', 't', ' ', 'w', 'a', 'i', 't', '.']","['Did you know tomorrow is  ...it sounds like last wks debate has provided lots of great material.', 'Cant wait.']","['did', 'you', 'know', 'tomorrow', 'is', '.', '.', '.', 'it', 'sounds', 'like', 'last', 'w', '##ks', 'debate', 'has', 'provided', 'lots', 'of', 'great', 'material', '.', 'can', '##t', 'wait', '.']",Did you know tomorrow is ... it sound like last wks debate ha provided lot of great material . Cant wait .
I was thinking about wrapping the engine with it as well,no,"['i', 'was', 'thinking', 'about', 'wrapping', 'the', 'engine', 'with', 'it', 'as', 'well']","['I', ' ', 'w', 'a', 's', ' ', 't', 'h', 'i', 'n', 'k', 'i', 'n', 'g', ' ', 'a', 'b', 'o', 'u', 't', ' ', 'w', 'r', 'a', 'p', 'p', 'i', 'n', 'g', ' ', 't', 'h', 'e', ' ', 'e', 'n', 'g', 'i', 'n', 'e', ' ', 'w', 'i', 't', 'h', ' ', 'i', 't', ' ', 'a', 's', ' ', 'w', 'e', 'l', 'l']",['I was thinking about wrapping the engine with it as well'],"['i', 'was', 'thinking', 'about', 'wrapping', 'the', 'engine', 'with', 'it', 'as', 'well']",I wa thinking about wrapping the engine with it a well
Its a catastrophic success.,yes,"['its', 'a', 'catastrophic', 'success', '.']","['I', 't', 's', ' ', 'a', ' ', 'c', 'a', 't', 'a', 's', 't', 'r', 'o', 'p', 'h', 'i', 'c', ' ', 's', 'u', 'c', 'c', 'e', 's', 's', '.']",['Its a catastrophic success.'],"['its', 'a', 'catastrophic', 'success', '.']",Its a catastrophic success .
