Tweet,Sarcasm,tokens
So we drop to their level amp do the same thing to others makes sense,yes,"['So', 'we', 'drop', 'to', 'their', 'level', 'amp', 'do', 'the', 'same', 'thing', 'to', 'others', 'makes', 'sense']"
"Youre right.we just follow what we are taught blindly,and never ask questions or seek answers.",yes,"['Youre', 'right.we', 'just', 'follow', 'what', 'we', 'are', 'taught', 'blindly', ',', 'and', 'never', 'ask', 'questions', 'or', 'seek', 'answers', '.']"
but but it is going to snow somewhere this winter!,yes,"['but', 'but', 'it', 'is', 'going', 'to', 'snow', 'somewhere', 'this', 'winter', '!']"
"Wow,  I bet the rest of the country is loving this exciting   vs  game on . Holy Cow.",yes,"['Wow', ',', 'I', 'bet', 'the', 'rest', 'of', 'the', 'country', 'is', 'loving', 'this', 'exciting', 'vs', 'game', 'on', '.', 'Holy', 'Cow', '.']"
Thank you dear sister for your kind words.D . You look . I got your sarcasm!,yes,"['Thank', 'you', 'dear', 'sister', 'for', 'your', 'kind', 'words', '.', 'D', '.', 'You', 'look', '.', 'I', 'got', 'your', 'sarcasm', '!']"
Refuse to watch  100m final! Cant support a sport which is not racially representative!,yes,"['Refuse', 'to', 'watch', '100m', 'final', '!', 'Cant', 'support', 'a', 'sport', 'which', 'is', 'not', 'racially', 'representative', '!']"
"Good morning! I wake up with a toothache,it is going to be a fun day",yes,"['Good', 'morning', '!', 'I', 'wake', 'up', 'with', 'a', 'toothache', ',', 'it', 'is', 'going', 'to', 'be', 'a', 'fun', 'day']"
That Fister trade just keeps on paying dividends,yes,"['That', 'Fister', 'trade', 'just', 'keeps', 'on', 'paying', 'dividends']"
Thats awesome! I just saw a taxicab driver leaving the pot dispensary.,yes,"['Thats', 'awesome', '!', 'I', 'just', 'saw', 'a', 'taxicab', 'driver', 'leaving', 'the', 'pot', 'dispensary', '.']"
you foregot the part,yes,"['you', 'foregot', 'the', 'part']"
Its shocking that they rebuilt white New Orleans before black New Orleans when black New Orleans was the majority. smh.,yes,"['Its', 'shocking', 'that', 'they', 'rebuilt', 'white', 'New', 'Orleans', 'before', 'black', 'New', 'Orleans', 'when', 'black', 'New', 'Orleans', 'was', 'the', 'majority', '.', 'smh', '.']"
Really have a desire to put in a full days work on the job since the boss said most of it does not matter one bit.,yes,"['Really', 'have', 'a', 'desire', 'to', 'put', 'in', 'a', 'full', 'days', 'work', 'on', 'the', 'job', 'since', 'the', 'boss', 'said', 'most', 'of', 'it', 'does', 'not', 'matter', 'one', 'bit', '.']"
This is how  the new monk tier looks.,yes,"['This', 'is', 'how', 'the', 'new', 'monk', 'tier', 'looks', '.']"
Will western powers demand the  drone is returned unharmed Will they condemn this terrorist act,yes,"['Will', 'western', 'powers', 'demand', 'the', 'drone', 'is', 'returned', 'unharmed', 'Will', 'they', 'condemn', 'this', 'terrorist', 'act']"
Please please PLEASE repost that video of Jeff Bridges acting about America. I missed it the first 200 times it was shared.,yes,"['Please', 'please', 'PLEASE', 'repost', 'that', 'video', 'of', 'Jeff', 'Bridges', 'acting', 'about', 'America', '.', 'I', 'missed', 'it', 'the', 'first', '200', 'times', 'it', 'was', 'shared', '.']"
How dare you use logic!!!,yes,"['How', 'dare', 'you', 'use', 'logic', '!', '!', '!']"
Thx 4 the RT! Its nice to know somebody cares not about the whole caring thing,yes,"['Thx', '4', 'the', 'RT', '!', 'Its', 'nice', 'to', 'know', 'somebody', 'cares', 'not', 'about', 'the', 'whole', 'caring', 'thing']"
"hey man, I too am addicted to making shit up and belligerently defending my integrity",yes,"['hey', 'man', ',', 'I', 'too', 'am', 'addicted', 'to', 'making', 'shit', 'up', 'and', 'belligerently', 'defending', 'my', 'integrity']"
"Not sure what to make of . Guys innocent until proven guilty, and once again the internets response has been calm.",yes,"['Not', 'sure', 'what', 'to', 'make', 'of', '.', 'Guys', 'innocent', 'until', 'proven', 'guilty', ',', 'and', 'once', 'again', 'the', 'internets', 'response', 'has', 'been', 'calm', '.']"
Really This is surprising.,yes,"['Really', 'This', 'is', 'surprising', '.']"
"Not suspicious at all, Six...",yes,"['Not', 'suspicious', 'at', 'all', ',', 'Six', '...']"
why would they They are an awesome team!,yes,"['why', 'would', 'they', 'They', 'are', 'an', 'awesome', 'team', '!']"
because that is what we need.,yes,"['because', 'that', 'is', 'what', 'we', 'need', '.']"
Another  today in West . M2.6 near Ft. Stockton  Not much  out there,yes,"['Another', 'today', 'in', 'West', '.', 'M2', '.', '6', 'near', 'Ft', '.', 'Stockton', 'Not', 'much', 'out', 'there']"
"She is obviously qualified for office, then.",yes,"['She', 'is', 'obviously', 'qualified', 'for', 'office', ',', 'then', '.']"
Life with a teen.  Its all my fault.  As it should be.,yes,"['Life', 'with', 'a', 'teen', '.', 'Its', 'all', 'my', 'fault', '.', 'As', 'it', 'should', 'be', '.']"
and also watchin porn wen parliament is in session is not public indecency P,yes,"['and', 'also', 'watchin', 'porn', 'wen', 'parliament', 'is', 'in', 'session', 'is', 'not', 'public', 'indecency', 'P']"
there seems to be ZERO bias in this tweet,yes,"['there', 'seems', 'to', 'be', 'ZERO', 'bias', 'in', 'this', 'tweet']"
I was making a joke. Should have tagged it or something.,yes,"['I', 'was', 'making', 'a', 'joke', '.', 'Should', 'have', 'tagged', 'it', 'or', 'something', '.']"
"No they cannot, but  might",yes,"['No', 'they', 'cannot', ',', 'but', 'might']"
No shit.... REALLY!,yes,"['No', 'shit', '...', 'REALLY', '!']"
"Macy knows my address now. I hope she does not come visit me. I SAID, I REALLY HOPE THAT DOESNT HAPPEN I MEAN IT WOULD BE THE WORST",yes,"['Macy', 'knows', 'my', 'address', 'now', '.', 'I', 'hope', 'she', 'does', 'not', 'come', 'visit', 'me', '.', 'I', 'SAID', ',', 'I', 'REALLY', 'HOPE', 'THAT', 'DOESNT', 'HAPPEN', 'I', 'MEAN', 'IT', 'WOULD', 'BE', 'THE', 'WORST']"
Now that he signed we can calmly bench him or play at LW.,yes,"['Now', 'that', 'he', 'signed', 'we', 'can', 'calmly', 'bench', 'him', 'or', 'play', 'at', 'LW', '.']"
If  existed during Indias independent struggle!    ,yes,"['If', 'existed', 'during', 'Indias', 'independent', 'struggle', '!']"
"Wow, Ryback won, I am so shocked.",yes,"['Wow', ',', 'Ryback', 'won', ',', 'I', 'am', 'so', 'shocked', '.']"
But ... football.,yes,"['But', '...', 'football', '.']"
Oh hubby will be pleased,yes,"['Oh', 'hubby', 'will', 'be', 'pleased']"
Costume sketch for The Life Saver That Is Sarcasm!     ,yes,"['Costume', 'sketch', 'for', 'The', 'Life', 'Saver', 'That', 'Is', 'Sarcasm', '!']"
Manchester city,yes,"['Manchester', 'city']"
Not in Mt. Zion though They never do anything over there.,yes,"['Not', 'in', 'Mt', '.', 'Zion', 'though', 'They', 'never', 'do', 'anything', 'over', 'there', '.']"
I use because beating the shit out  of people is ilegal,yes,"['I', 'use', 'because', 'beating', 'the', 'shit', 'out', 'of', 'people', 'is', 'ilegal']"
oh I know. And it looks like they are gonna come back and win this one too. Just like they did against the DBacks,yes,"['oh', 'I', 'know', '.', 'And', 'it', 'looks', 'like', 'they', 'are', 'gonna', 'come', 'back', 'and', 'win', 'this', 'one', 'too', '.', 'Just', 'like', 'they', 'did', 'against', 'the', 'DBacks']"
Bills oh how I love paying em.,yes,"['Bills', 'oh', 'how', 'I', 'love', 'paying', 'em', '.']"
"Oh good, I was hoping it would be super hot again today neutral_face  ",yes,"['Oh', 'good', ',', 'I', 'was', 'hoping', 'it', 'would', 'be', 'super', 'hot', 'again', 'today', 'neutral_face']"
"You know what does not really work on the internet, but people still try to use it all the time and it is annoying as fuck!",yes,"['You', 'know', 'what', 'does', 'not', 'really', 'work', 'on', 'the', 'internet', ',', 'but', 'people', 'still', 'try', 'to', 'use', 'it', 'all', 'the', 'time', 'and', 'it', 'is', 'annoying', 'as', 'fuck', '!']"
What a great matchsleeping_facesleeping_facesleeping_face,yes,"['What', 'a', 'great', 'matchsleeping_facesleeping_facesleeping_face']"
"4 all Irelands, 9 Munster, 3 all stars and a player of the year but your probably right!!!!",yes,"['4', 'all', 'Irelands', ',', '9', 'Munster', ',', '3', 'all', 'stars', 'and', 'a', 'player', 'of', 'the', 'year', 'but', 'your', 'probably', 'right', '!', '!', '!']"
naturally wanting segregation from a group of people because of their race doesnt make you a racist,yes,"['naturally', 'wanting', 'segregation', 'from', 'a', 'group', 'of', 'people', 'because', 'of', 'their', 'race', 'doesnt', 'make', 'you', 'a', 'racist']"
I sure am glad the Dodgers addressed their bullpen issues at the trade deadline!,yes,"['I', 'sure', 'am', 'glad', 'the', 'Dodgers', 'addressed', 'their', 'bullpen', 'issues', 'at', 'the', 'trade', 'deadline', '!']"
"Womenonly carriages So instead of addressing the source of sexual assults, we segregate Gold star",yes,"['Womenonly', 'carriages', 'So', 'instead', 'of', 'addressing', 'the', 'source', 'of', 'sexual', 'assults', ',', 'we', 'segregate', 'Gold', 'star']"
Thanks  for giving us a memorable game    ,yes,"['Thanks', 'for', 'giving', 'us', 'a', 'memorable', 'game']"
Jose says he does not want to talk about players from other clubs,no,"['Jose', 'says', 'he', 'does', 'not', 'want', 'to', 'talk', 'about', 'players', 'from', 'other', 'clubs']"
Shocker. The  open the game with a power run. Completely out of character for Harbaugh.,yes,"['Shocker', '.', 'The', 'open', 'the', 'game', 'with', 'a', 'power', 'run', '.', 'Completely', 'out', 'of', 'character', 'for', 'Harbaugh', '.']"
I am a little annoyed there is not more news coverage of Zayn and Perries break up!,yes,"['I', 'am', 'a', 'little', 'annoyed', 'there', 'is', 'not', 'more', 'news', 'coverage', 'of', 'Zayn', 'and', 'Perries', 'break', 'up', '!']"
Going to have to wake up three hours earlier tomorrow to do the whole school thing. I am sure that will not be horrific at all,yes,"['Going', 'to', 'have', 'to', 'wake', 'up', 'three', 'hours', 'earlier', 'tomorrow', 'to', 'do', 'the', 'whole', 'school', 'thing', '.', 'I', 'am', 'sure', 'that', 'will', 'not', 'be', 'horrific', 'at', 'all']"
"The world needs more of these bequiffed, bearded guys doing selfie videos with humorous outcomes. I just cannot get enough of them",yes,"['The', 'world', 'needs', 'more', 'of', 'these', 'bequiffed', ',', 'bearded', 'guys', 'doing', 'selfie', 'videos', 'with', 'humorous', 'outcomes', '.', 'I', 'just', 'cannot', 'get', 'enough', 'of', 'them']"
Being left handed is a choice.  And a mark of Satan.  You will burn in hell.,yes,"['Being', 'left', 'handed', 'is', 'a', 'choice', '.', 'And', 'a', 'mark', 'of', 'Satan', '.', 'You', 'will', 'burn', 'in', 'hell', '.']"
"Oh good, it is nice to seel that Foxs slapped together We Dont Want to Lose the Rights piece of a movie will win the box office.",yes,"['Oh', 'good', ',', 'it', 'is', 'nice', 'to', 'seel', 'that', 'Foxs', 'slapped', 'together', 'We', 'Dont', 'Want', 'to', 'Lose', 'the', 'Rights', 'piece', 'of', 'a', 'movie', 'will', 'win', 'the', 'box', 'office', '.']"
The fact that  is live tweeting  is amusing and terrifying,yes,"['The', 'fact', 'that', 'is', 'live', 'tweeting', 'is', 'amusing', 'and', 'terrifying']"
Ready to be entertained!!!!!!,yes,"['Ready', 'to', 'be', 'entertained', '!', '!', '!']"
First Class at Csun  starting at 8 am,yes,"['First', 'Class', 'at', 'Csun', 'starting', 'at', '8', 'am']"
That WKU offense sure is something!!,yes,"['That', 'WKU', 'offense', 'sure', 'is', 'something', '!', '!']"
I feel like stolen  are a seasoned staple of our city so proud,yes,"['I', 'feel', 'like', 'stolen', 'are', 'a', 'seasoned', 'staple', 'of', 'our', 'city', 'so', 'proud']"
Oh woe is me....poor Shelli,yes,"['Oh', 'woe', 'is', 'me', '...', 'poor', 'Shelli']"
"Skip Bayless is just a humble, modest observer",yes,"['Skip', 'Bayless', 'is', 'just', 'a', 'humble', ',', 'modest', 'observer']"
I know mate.......,yes,"['I', 'know', 'mate', '...']"
"Yes, teamwork is quite the obvious method of... cheating.",yes,"['Yes', ',', 'teamwork', 'is', 'quite', 'the', 'obvious', 'method', 'of', '...', 'cheating', '.']"
Job hunting is the best,yes,"['Job', 'hunting', 'is', 'the', 'best']"
"Just got my GCSE results three Bs, three Cs, one D, one E and an undetermined physics result. Thanks  great job",yes,"['Just', 'got', 'my', 'GCSE', 'results', 'three', 'Bs', ',', 'three', 'Cs', ',', 'one', 'D', ',', 'one', 'E', 'and', 'an', 'undetermined', 'physics', 'result', '.', 'Thanks', 'great', 'job']"
Better than Mega Man Soccer!,yes,"['Better', 'than', 'Mega', 'Man', 'Soccer', '!']"
"Wow, Toronto. Are the  minor league affiliates going to be able to field teams, or forced to forfeit the rest of the yr",yes,"['Wow', ',', 'Toronto', '.', 'Are', 'the', 'minor', 'league', 'affiliates', 'going', 'to', 'be', 'able', 'to', 'field', 'teams', ',', 'or', 'forced', 'to', 'forfeit', 'the', 'rest', 'of', 'the', 'yr']"
All of you who are whining about who was selected as a starting QB must have it all together,yes,"['All', 'of', 'you', 'who', 'are', 'whining', 'about', 'who', 'was', 'selected', 'as', 'a', 'starting', 'QB', 'must', 'have', 'it', 'all', 'together']"
Bcos detention camps are the only solution for people with no country or home to go to......,yes,"['Bcos', 'detention', 'camps', 'are', 'the', 'only', 'solution', 'for', 'people', 'with', 'no', 'country', 'or', 'home', 'to', 'go', 'to', '...']"
"Everybody is mad about the finish at , I am just mad Sting was not there.",yes,"['Everybody', 'is', 'mad', 'about', 'the', 'finish', 'at', ',', 'I', 'am', 'just', 'mad', 'Sting', 'was', 'not', 'there', '.']"
Excellent fightback by the Aussies to take the game into the third day.,yes,"['Excellent', 'fightback', 'by', 'the', 'Aussies', 'to', 'take', 'the', 'game', 'into', 'the', 'third', 'day', '.']"
im real glad they changed the schedule and moved the Mario 3 race to a time when I will not be home,yes,"['im', 'real', 'glad', 'they', 'changed', 'the', 'schedule', 'and', 'moved', 'the', 'Mario', '3', 'race', 'to', 'a', 'time', 'when', 'I', 'will', 'not', 'be', 'home']"
"Well you know, he is making the run and tackle.. so yeah it is his fault! Lol",yes,"['Well', 'you', 'know', ',', 'he', 'is', 'making', 'the', 'run', 'and', 'tackle', '..', 'so', 'yeah', 'it', 'is', 'his', 'fault', '!', 'Lol']"
follows people to get her name out there,yes,"['follows', 'people', 'to', 'get', 'her', 'name', 'out', 'there']"
What it looks like when you drink water   so what does it look like when you drink beer ,yes,"['What', 'it', 'looks', 'like', 'when', 'you', 'drink', 'water', 'so', 'what', 'does', 'it', 'look', 'like', 'when', 'you', 'drink', 'beer']"
dang it grim I really wanted one of those toys.,yes,"['dang', 'it', 'grim', 'I', 'really', 'wanted', 'one', 'of', 'those', 'toys', '.']"
So Tiger Woods did not make the cut at the  and the golf world has not collapsed I am absolutely shocked,yes,"['So', 'Tiger', 'Woods', 'did', 'not', 'make', 'the', 'cut', 'at', 'the', 'and', 'the', 'golf', 'world', 'has', 'not', 'collapsed', 'I', 'am', 'absolutely', 'shocked']"
I am sure he will get snatched up and be on a major league roster immediately,yes,"['I', 'am', 'sure', 'he', 'will', 'get', 'snatched', 'up', 'and', 'be', 'on', 'a', 'major', 'league', 'roster', 'immediately']"
So there is this new invention called canned foods. Keep throwing away my fresh produce but THIS IS GENIUS,yes,"['So', 'there', 'is', 'this', 'new', 'invention', 'called', 'canned', 'foods', '.', 'Keep', 'throwing', 'away', 'my', 'fresh', 'produce', 'but', 'THIS', 'IS', 'GENIUS']"
how can they harvest body parts from clumps of cells they are babies!,yes,"['how', 'can', 'they', 'harvest', 'body', 'parts', 'from', 'clumps', 'of', 'cells', 'they', 'are', 'babies', '!']"
"CLEARLY this guy is missing some names, but it is still a good article, I guess.",yes,"['CLEARLY', 'this', 'guy', 'is', 'missing', 'some', 'names', ',', 'but', 'it', 'is', 'still', 'a', 'good', 'article', ',', 'I', 'guess', '.']"
"Yeah, because is always so obvious even without a hashtag.",yes,"['Yeah', ',', 'because', 'is', 'always', 'so', 'obvious', 'even', 'without', 'a', 'hashtag', '.']"
So I guess to avoid  attention ... murder 1 at a time ... the multiple shootings gathers too much attention.,yes,"['So', 'I', 'guess', 'to', 'avoid', 'attention', '...', 'murder', '1', 'at', 'a', 'time', '...', 'the', 'multiple', 'shootings', 'gathers', 'too', 'much', 'attention', '.']"
Hallelujah!!!!Gibbs will live! Such a relief!,yes,"['Hallelujah', '!', '!', '!', 'Gibbs', 'will', 'live', '!', 'Such', 'a', 'relief', '!']"
Hope we get to drop those 600k bombs on Syria .. just makes so much sense.,yes,"['Hope', 'we', 'get', 'to', 'drop', 'those', '600k', 'bombs', 'on', 'Syria', '..', 'just', 'makes', 'so', 'much', 'sense', '.']"
pensive_face  G Town,yes,"['pensive_face', 'G', 'Town']"
Thank you for taking the time to answer my texts... Means a lot,yes,"['Thank', 'you', 'for', 'taking', 'the', 'time', 'to', 'answer', 'my', 'texts', '...', 'Means', 'a', 'lot']"
Smile SelfPee  All for a,yes,"['Smile', 'SelfPee', 'All', 'for', 'a']"
"bro, Lions lives matter, too. Dont question it.",yes,"['bro', ',', 'Lions', 'lives', 'matter', ',', 'too', '.', 'Dont', 'question', 'it', '.']"
"exactly, nothing but trouble with the PEDs and the kitten punching such a nightmare. sad_but_relieved_face",yes,"['exactly', ',', 'nothing', 'but', 'trouble', 'with', 'the', 'PEDs', 'and', 'the', 'kitten', 'punching', 'such', 'a', 'nightmare', '.', 'sad_but_relieved_face']"
HOLD THE PHONE. A POP STAR TRYING TO MAKE MONEY  you capitalist monster..,yes,"['HOLD', 'THE', 'PHONE', '.', 'A', 'POP', 'STAR', 'TRYING', 'TO', 'MAKE', 'MONEY', 'you', 'capitalist', 'monster', '..']"
Stuck in the  after such a long long time.  I had truly missed u. Thank you  for the sweet nostalgia,yes,"['Stuck', 'in', 'the', 'after', 'such', 'a', 'long', 'long', 'time', '.', 'I', 'had', 'truly', 'missed', 'u', '.', 'Thank', 'you', 'for', 'the', 'sweet', 'nostalgia']"
because of all the children that got hit. unamused_face,yes,"['because', 'of', 'all', 'the', 'children', 'that', 'got', 'hit', '.', 'unamused_face']"
"hey .  . , thanks for NOT having ANY detour signs during parking renov, loved being late to the movie",yes,"['hey', '.  .', ',', 'thanks', 'for', 'NOT', 'having', 'ANY', 'detour', 'signs', 'during', 'parking', 'renov', ',', 'loved', 'being', 'late', 'to', 'the', 'movie']"
Locked out the car... Stuck at Walgreens.. Such a wonderful combination... neutral_face,yes,"['Locked', 'out', 'the', 'car', '...', 'Stuck', 'at', 'Walgreens', '..', 'Such', 'a', 'wonderful', 'combination', '...', 'neutral_face']"
glad those of us onboard that train were notified,yes,"['glad', 'those', 'of', 'us', 'onboard', 'that', 'train', 'were', 'notified']"
Camping in our neighbors backyard in Arlington was pleasant. next time pls plan major const. In the daytime,yes,"['Camping', 'in', 'our', 'neighbors', 'backyard', 'in', 'Arlington', 'was', 'pleasant', '.', 'next', 'time', 'pls', 'plan', 'major', 'const', '.', 'In', 'the', 'daytime']"
Nice job curb painters!       Arbys,yes,"['Nice', 'job', 'curb', 'painters', '!', 'Arbys']"
You know what I do not get to do enough of Install Flash.,yes,"['You', 'know', 'what', 'I', 'do', 'not', 'get', 'to', 'do', 'enough', 'of', 'Install', 'Flash', '.']"
Thanks for the multiple replays and zoom in shots of Cam Newton trying to keep his feet in bounds in practice. Riveting story,yes,"['Thanks', 'for', 'the', 'multiple', 'replays', 'and', 'zoom', 'in', 'shots', 'of', 'Cam', 'Newton', 'trying', 'to', 'keep', 'his', 'feet', 'in', 'bounds', 'in', 'practice', '.', 'Riveting', 'story']"
"yep because Hillary sure intends to address militarized police, the war on drugs and felon voting rights",yes,"['yep', 'because', 'Hillary', 'sure', 'intends', 'to', 'address', 'militarized', 'police', ',', 'the', 'war', 'on', 'drugs', 'and', 'felon', 'voting', 'rights']"
"Sometimes it is better to just remain silent, and  wkwk winking_face_with_tongue  HKBP Pardomuan",yes,"['Sometimes', 'it', 'is', 'better', 'to', 'just', 'remain', 'silent', ',', 'and', 'wkwk', 'winking_face_with_tongue', 'HKBP', 'Pardomuan']"
What a CYANIDE surprise you have left for my EYES,yes,"['What', 'a', 'CYANIDE', 'surprise', 'you', 'have', 'left', 'for', 'my', 'EYES']"
"Welp, got the earliest shift today and I lost some sleep last night. Todays just gonna be absolutely amazing.",yes,"['Welp', ',', 'got', 'the', 'earliest', 'shift', 'today', 'and', 'I', 'lost', 'some', 'sleep', 'last', 'night', '.', 'Todays', 'just', 'gonna', 'be', 'absolutely', 'amazing', '.']"
This is BRAND new information ... I am so shocked.,yes,"['This', 'is', 'BRAND', 'new', 'information', '...', 'I', 'am', 'so', 'shocked', '.']"
You guys are one in a Minion,yes,"['You', 'guys', 'are', 'one', 'in', 'a', 'Minion']"
thanks for delaying my flight about five times today!  It has not been inconvenient at all.,yes,"['thanks', 'for', 'delaying', 'my', 'flight', 'about', 'five', 'times', 'today', '!', 'It', 'has', 'not', 'been', 'inconvenient', 'at', 'all', '.']"
are you hoping to see Tiger light it up like he has been I know I am.,yes,"['are', 'you', 'hoping', 'to', 'see', 'Tiger', 'light', 'it', 'up', 'like', 'he', 'has', 'been', 'I', 'know', 'I', 'am', '.']"
Great teammate. Brandon Marshall says he was only Bear to hold Jay Cutler accountable,yes,"['Great', 'teammate', '.', 'Brandon', 'Marshall', 'says', 'he', 'was', 'only', 'Bear', 'to', 'hold', 'Jay', 'Cutler', 'accountable']"
"Commodity markets came back today, who would have thought...",yes,"['Commodity', 'markets', 'came', 'back', 'today', ',', 'who', 'would', 'have', 'thought', '...']"
Yes Niel from TEEN TOP is ugly... very ugly...,yes,"['Yes', 'Niel', 'from', 'TEEN', 'TOP', 'is', 'ugly', '...', 'very', 'ugly', '...']"
Nurse So I am guessing you have got a headache Me no I just like to look cool,yes,"['Nurse', 'So', 'I', 'am', 'guessing', 'you', 'have', 'got', 'a', 'headache', 'Me', 'no', 'I', 'just', 'like', 'to', 'look', 'cool']"
"man! I am an adult, I know that!",yes,"['man', '!', 'I', 'am', 'an', 'adult', ',', 'I', 'know', 'that', '!']"
What a great way to start the holiday!,yes,"['What', 'a', 'great', 'way', 'to', 'start', 'the', 'holiday', '!']"
Did you ever wonder about this question,no,"['Did', 'you', 'ever', 'wonder', 'about', 'this', 'question']"
That shit is so June. Get over it.,yes,"['That', 'shit', 'is', 'so', 'June', '.', 'Get', 'over', 'it', '.']"
give me the internet service I deserve and paid for. Can you do that,yes,"['give', 'me', 'the', 'internet', 'service', 'I', 'deserve', 'and', 'paid', 'for', '.', 'Can', 'you', 'do', 'that']"
not from me.,yes,"['not', 'from', 'me', '.']"
"Art of has been lost. With such a dearth of wit amp intellect, maybe no surprise this is our govt.",yes,"['Art', 'of', 'has', 'been', 'lost', '.', 'With', 'such', 'a', 'dearth', 'of', 'wit', 'amp', 'intellect', ',', 'maybe', 'no', 'surprise', 'this', 'is', 'our', 'govt', '.']"
".   Well shit, here I thought racism and killer cops were bad things. Thanks for educating me",yes,"['.', 'Well', 'shit', ',', 'here', 'I', 'thought', 'racism', 'and', 'killer', 'cops', 'were', 'bad', 'things', '.', 'Thanks', 'for', 'educating', 'me']"
Its so hot and muggy in LA.  Good thing my wife is going to Miami to get away from this weather,yes,"['Its', 'so', 'hot', 'and', 'muggy', 'in', 'LA', '.', 'Good', 'thing', 'my', 'wife', 'is', 'going', 'to', 'Miami', 'to', 'get', 'away', 'from', 'this', 'weather']"
"Were about to get some wet tshirt action,,I picked a good day to wear a bra..",yes,"['Were', 'about', 'to', 'get', 'some', 'wet', 'tshirt', 'action', ',', ',', 'I', 'picked', 'a', 'good', 'day', 'to', 'wear', 'a', 'bra', '..']"
Mate I am doubled upface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,yes,"['Mate', 'I', 'am', 'doubled', 'upface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy']"
Found my MP3 player amp earbuds strung across the floor. Kitten was sooo nice trying to bring it to me. O_o,yes,"['Found', 'my', 'MP3', 'player', 'amp', 'earbuds', 'strung', 'across', 'the', 'floor', '.', 'Kitten', 'was', 'sooo', 'nice', 'trying', 'to', 'bring', 'it', 'to', 'me', '.', 'O_o']"
I need to tone it down on the sarcasm cause people do not get me.,yes,"['I', 'need', 'to', 'tone', 'it', 'down', 'on', 'the', 'sarcasm', 'cause', 'people', 'do', 'not', 'get', 'me', '.']"
Yes. More guns. Guns everywhere. Big ole westernstyle shoutout. Sounds like the answer to me,yes,"['Yes', '.', 'More', 'guns', '.', 'Guns', 'everywhere', '.', 'Big', 'ole', 'westernstyle', 'shoutout', '.', 'Sounds', 'like', 'the', 'answer', 'to', 'me']"
No Cards for getting a lefthanded Mark Reynolds Color me shocked.,yes,"['No', 'Cards', 'for', 'getting', 'a', 'lefthanded', 'Mark', 'Reynolds', 'Color', 'me', 'shocked', '.']"
So I take it some people do not like the Reezus Christ album cover. Never saw that coming,yes,"['So', 'I', 'take', 'it', 'some', 'people', 'do', 'not', 'like', 'the', 'Reezus', 'Christ', 'album', 'cover', '.', 'Never', 'saw', 'that', 'coming']"
Pretty Sad Panda has won the byelection in . Such an asset to the Wildrose caucus,yes,"['Pretty', 'Sad', 'Panda', 'has', 'won', 'the', 'byelection', 'in', '.', 'Such', 'an', 'asset', 'to', 'the', 'Wildrose', 'caucus']"
"AAPL name change to Orange, boom instant 1 trillion dollar company GOOGL",yes,"['AAPL', 'name', 'change', 'to', 'Orange', ',', 'boom', 'instant', '1', 'trillion', 'dollar', 'company', 'GOOGL']"
RT  RT if you love Gorgeous MILFS sign up to ...,yes,"['RT', 'RT', 'if', 'you', 'love', 'Gorgeous', 'MILFS', 'sign', 'up', 'to', '...']"
Totally random event of course. No relationship at all to,yes,"['Totally', 'random', 'event', 'of', 'course', '.', 'No', 'relationship', 'at', 'all', 'to']"
Feeling broody Stick  on. Thatll quell the urge for another few months.,yes,"['Feeling', 'broody', 'Stick', 'on', '.', 'Thatll', 'quell', 'the', 'urge', 'for', 'another', 'few', 'months', '.']"
Google Glass allegedly needed bc you have to take your phone out of pocket and tap it to get online,yes,"['Google', 'Glass', 'allegedly', 'needed', 'bc', 'you', 'have', 'to', 'take', 'your', 'phone', 'out', 'of', 'pocket', 'and', 'tap', 'it', 'to', 'get', 'online']"
Calling someone unattractive is definitely the same as violating their civil liberties,yes,"['Calling', 'someone', 'unattractive', 'is', 'definitely', 'the', 'same', 'as', 'violating', 'their', 'civil', 'liberties']"
"I really should tweet more, though. Actually. Like I really should.",yes,"['I', 'really', 'should', 'tweet', 'more', ',', 'though', '.', 'Actually', '.', 'Like', 'I', 'really', 'should', '.']"
That makes me feel good about myself,yes,"['That', 'makes', 'me', 'feel', 'good', 'about', 'myself']"
"Why not let every country have nuclear weapons Nuclear weapons do not kill people, people do.",yes,"['Why', 'not', 'let', 'every', 'country', 'have', 'nuclear', 'weapons', 'Nuclear', 'weapons', 'do', 'not', 'kill', 'people', ',', 'people', 'do', '.']"
Does anybody know if  is gonna be on TV anytime soon,yes,"['Does', 'anybody', 'know', 'if', 'is', 'gonna', 'be', 'on', 'TV', 'anytime', 'soon']"
Because  my kids had to eat a generic snack with our movie.  Thanks  for making me fail at parenthood.,yes,"['Because', 'my', 'kids', 'had', 'to', 'eat', 'a', 'generic', 'snack', 'with', 'our', 'movie', '.', 'Thanks', 'for', 'making', 'me', 'fail', 'at', 'parenthood', '.']"
