Tweet,Sarcasm
today,no
Hmmm...another incident involving 49ers fans...I wonder what Eagles fans did to cause this...,no
I am so indoors daddy says I am antisocial but that is how he made my childhood,no
Biking to the dmv to get my drivers license renewed,no
"As a feminist, disappointed  for being just as    as she accuses trolls of being.",no
Thousands of microbes in house  via,no
Once again....Giroud is not guilty....lolzzz,no
Want to create more  and meaning in your day Surround yourself with truth and beauty!,no
Perception  Student and Teacher,no
So this landed in the office and I am here in  for ...,no
just proof New York cannot sustain sports teams,no
CAPCOfunded blog  praises areas food pub cultural live music   now dying thnx 2 Capco EC12 cull,no
Cant wait to hear Hoagies abortion show.,no
Were also 54 through this  abysmal season being over too.,no
A Palestinian attacks an Israeli ambulance carrying what was in fact a Palestinian stabbed by a Palestinian who thought he was a Jew,no
If a New Zealander pronounced my gyms name Fox Fit it would be Fox Fat,no
A long walk to freedom         ,no
Too  when you are  amp in Hell change your mind bout Jesus Christs offer of Salvationhear  is all crapJesusSavesAsk Now,no
even more ima  eyes see da smirking_face smh ......   WESTLONDON,no
I need to go back. I cannot wait to plan another    mdepetris ,no
14 hr workday after a 5 am heavy lift session this morning my body is not mad at me at all.  Gotta help when help is needed though.,no
Daily  on  is out!  Stories via,no
because your really going to make tons of money of of it when no one can afford it.,no
I NEED MY EMOTES amp EXOTIC CLASS ITEMS NOW!!!!!!!!!!!!!!!!,no
Being ignored is so fun .,no
Alanis thinks this is  probably,no
face_with_tears_of_joy Just got this email...,no
"Tackles truthiness by distorting truth and taking things out of context, that is logical",no
In Nigeria we stress on the importance of good Parenting but turn right around and allow househelps raise our kids.,no
Thank you  you are awesome!!,no
he seems like an angry egotistical fool.,no
Do they know that they are the evil regime hellbent on destruction or must they be notified,no
Its a process to get WH tour these days but apparently jumping the fencewalking through the front door is a breeze.,no
Brewed in Holland face_with_tears_of_joyRT  When u see it....,no
Another sucker in my life  in,no
"No, officer I am not shaking because I am cold. I am shaking because cops are number 3 on the list of things in most afraid of",no
I just need 1 day like this.. Guess I gotta give somebody the time of day. weary_face I hate wasting my timeexpressionless_face,no
Irish Accents seriously go through me.,no
My east coast lifestyle tank is being shipped from Toronto.,no
YouCanBook.Me Streamline Meeting Scheduling,no
So that is why there is so much  going on on . winking_face,no
Jared from subway is gonna have plenty of foot longs in prison,no
I am afraid the  has just been found to be a major contributor to climate change.,no
More senators line up behind Iran nuclear deal,no
Spam is another persons sandwich,no
Delta sends me a survey on a flight that was normal but not on the terrible one with huge delays.,no
Watching Age of Ultron. These Avengers movies have so many destroyed cities. Good thing nobody died like in Man of Steel.,no
WOW real classy,no
"Its all about that bandwagon, im sure people were tucking into there steak whilst piping up on the issue",no
"Just saw guy on an ebike wearing a construction helmet, Flip a driver the bird and yell idiot.",no
"Either way, hes going to destroy me s   Wonderlust",no
"have not you heard McDavis is a bust, he wil be gone after 9 games.",no
140 characters minimum.  of being a broken record about something that has outlasted the LP by 25 years,no
This wins the internet today!,no
"Love it!grinning_face_with_smiling_eyes Seriously though, sadly so true.",no
Suspected  found on   grounds,no
Fiorina looking to capitalize on another strong debate,no
"A muslim woman goes on air looking for equal respect for religions and beliefs, then says woman who are raped share blame.",no
U r fighting for  more than he himself does ,no
Buddha folded_hands_mediumlight_skin_tone         ,no
3 years ago today I did not see Nicki in Atlanta but 4 years ago today I did see her in Miami smiling_face_with_hearteyes,no
"Out of thin air, Huckster",no
14 Things That Still Bother Me About Jumanji,no
guitar pick  handmade,no
That Corbyn is a right Bastard!!!,no
MONEYPLANT per BHI mONeY naHI HOTa,no
They will continue to call themselves fiscal conservatives and accuse Obama of turning America into Greece,no
Top Blogger templates      ,no
Employer code      reads,no
tweet..had a boom braai day yesterday .,no
annoyed by everyone and everything even when i know im the annoying one.,no
"Funny how really good looking people tell the rest of us how attractive a good heart is, but they sure will not date us!",no
Man gives me attitude for telling him to hush during Angry Indian Goddesses,no
"Upon searching for the  keywords Google Logo and New Google Logo,  throws up its old  for more than 10 rows!",no
GMA President Says Christian Music Continues to Impact Culture as 215 Million Americans Listen ...,no
nice BrightSpots work in Hispanic Ed see  BrightSpotsSchoolsConnection AUS now 2 yearstrong,no
Vendor emails me about a regression fix failing to make it through code review while  and  present about testing,no
"CBS Marketwatch  Futures Movers Oil prices rally 2, try to regain 39 level . More   ",no
michael vick signing on national dog day  much,no
I think Im on the good side of crazy.,no
I feel like the only one who did not drink last night. Ya kno wat we call that,no
by the company that recommended we replace 2 mealsday with flavourless cereal so we can be thinner.,no
The hipster Barbie insta is soooo  and yet I cannot stop laughing,no
I have been there....,no
Jeremy is so angry at Dara because Chaerin had to babysit her instead of cheering on him at his premiere...,no
Happy ! Think,no
Broncos finally at full strength and just in time,no
Even landslides can end up meaning little.  See,no
as  tourney gets temp weather delay,no
will be throwing  when back,no
Nice neutral piece 3d before Catalan elections.,no
I saw this play in the same news channel u refuse to give interview but give them money to run this,no
Aguilar wearing a Lucha mask on the way to the Octagon.,no
Who would vote for VP Joe Biden He faces many complicated questions in deciding if he will run ,no
"Sheep mostly misunderstand the role of the shepherd. Protecting their investment so They can milk, fleece and slaughter at will.",no
"So  is doing a day of no ads, but I have heard this ad 3 times already",no
just been blocked by one of your trolls who berates you for blocking people who do not agree with you,no
hear Game Of War by Ana Luiza Brown guitar on ,no
Its interesting to think that making changes and looking out for myself makes me the asshole,no
Guess what time it is! face_with_tears_of_joywinking_face_with_tongue Try to say it without singing it!    ,no
Oh the irony    by robstar_2001,no
nightflexed_bicepsflexed_biceps  on Dem arms doethumbs_up Better late than Neva.. A girls gotta do what she has,no
the one day I am not wearing one,no
Christ this 48 hrs till Pedro signs seems like a long time......,no
The Sun is setting        ,no
Wor Lass has won 5 in a row and going for a 6th at Newcastle today,no
"I agree on the waste, but those with large paychecks see no value in currency",no
Its okay I did not want you to respond anyway,no
Obviously a Jeb Bush comic book is everything I need. OBVIOUSLY,no
gtgt     for the use of    amp,no
"Its a fine, thin line.",no
Margot wows at charity event,no
A bigot begging for humanity,no
Ya bitches bring up mah past more than I do,no
Yay doctors are going to take my blood! syringe,no
"My reaction to the last  ep, where they were protecting the body",no
ORAYT LAST PLACE WOOHOOH,no
Then why the hell stock market is going down,no
Emily Kinney Took Our What Kind Of Coffee Are You Quiz     ,no
Peaople quoting Kalam under so called secularism.,no
is the heart of wellbeing and happiness,no
"Yeah, it sucks when someone does something to you that you clearly do not want them to do, does not it",no
Watching a commercial for how great  wifi is...while my Xfinity internet is down.,no
Gatherings are always fun,no
"When we are captured by the love and grace of God, we then experience more freedom then we can imagine.",no
"For years I was the jerk telling everyone No line in the song Ironic is ironic. Then a girl says, that is the irony. MIND BLOWN",no
Kitchen Addiction!,no
till 826!,no
"Like Tx, Fla, SC and LA   Was that endorsement for those governors Thats a NO NO!! u Pledged!",no
"Hey, , my mailbox will not be so full if you stop sending me Your mailbox is almost full messages",no
You cannot master what you do not understand.,no
I loovee when people text back  unamused_face ,yes
Don't you love it when your parents are Pissed because you were gonna study after bubble soccer    grinning_face_with_big_eyes water_pistol,yes
"So many useless classes , great to be student",yes
Oh how I love getting home from work at am and my house being dirty ,yes
I just love having grungy ass hair expressionless_face ,yes
"Thank you , random guy , for sneaking up behind me , and grabbing my face . That was no invasion of privacy whatsoever .",yes
Being half spanish and not being able to speak spanish is honestly so disappointing,yes
I know no one will remember it broken_heart           ,yes
Anyone in Chem that has to do OWLs knows my pain right now     weary_face,yes
Holy crap I look great   ,yes
I love doing 20 sprints in 10 degree weather ,yes
feeling like a million bucks after that chem 2 test . grinning_face_with_sweat ,yes
I love working in Sydney river It makes me want to go to work so much more   ,yes
I love hearing things about me that I didn't know and aren't true  ,yes
"I'm gonna let it slide today , but next time this fat douche decides to come in the library and speak so loudly this early it's over .",yes
I literally just ate 14 of a pan of brownies   ,yes
Good thing I spent four years getting MLA formatting shoved down my throat .  expressionless_face thumbs_down,yes
I Like Turtles ,yes
Nothing like the excitement of going to an interview  for a second job  right after a long day at work .,yes
Apparently I'm working on opening up and being honest this week  but being nice at the same time  . It's great   ,yes
I love watching golf  flag_in_hole  ,yes
Hahahaha ha  gordon brown is saying you've got the best of both worlds  Scotland have been offered home rule  what a vast difference  ,yes
Being bored is seriously the one thing I like too do . ,yes
I'm glad I know how to do this chemistry homework,yes
Going to be a nice evening trying to fix my bike ,yes
I love walking to school grinning_face_with_smiling_eyes ,yes
Another happy day at this residence .  pensive_face,yes
Going to bed with a headache and waking up with a headache makes my day ,yes
I literally cannot deal with this weather . ,yes
I'll be so upset if I don't go see my grandma today I'm not gonna want to speak it nobody,yes
Enjoying a relaxing detoxing drink on our chilled out holiday   ,yes
I love sitting alone in class ,yes
Apartment shopping is so fun   smiling_face weary_face,yes
I just love people who see an endless amount of empty tables but decide to sit with me instead .,yes
Man sleep in g in is such a chore,yes
Having two days off means leaving the office at 11pm on a Monday . Cool   ,yes
I love how I got so pissed yesterday that I had to take a breathing treatment because it screwed up my breathing  unamused_face  ,yes
Nothing like starting your Monday morning with a 4 hour test   loudly_crying_face OK_hand,yes
I love how you made an effort to text me today .  but what ever .,yes
Exactly the kind of email I wish to receive after unsubscribing from an email list . ,yes
"When Michele Obama trying to plant some trees where your weed farm is , so you gotta speak some sense in dat bitch",yes
I'm gonna swing from the chandelier tommorow ,yes
I just love it when others make decisions for me . ,yes
I love waking up at 6 every morning unamused_face ,yes
I'll fuckin wreck you in baseball   ,yes
Bitch at subway had hickeys on her neck  That's so attractive  ,yes
I just love having my eyes water when I sneeze ,yes
I live for 5 hour practices ,yes
I just love when people talk about their boring work projects at lunch . ,yes
I love Friday morning practices ,yes
I love it when people start rumors about me ,yes
I love being the first to make plans with people . ,yes
"I love how if I make one tiny complaint you automatically defend the party in question , without fail .",yes
"If u think u r so perfect , then don't even speak to me .",yes
I miss you ,yes
Almost time for our two hour talk about sexual harrassment  .  pile_of_poo,yes
"Atta boy Hawks , making it onto ESPN for getting stuck , representing us well   ",yes
Being ignored is always fun .. ,yes
"I literally just want to throw up at couples tweets . Like we get it , you're in a relationship .  ",yes
"Because of the glare from the sun , of course ",yes
Don't you just love only being able to eat soup  It's delicious . OK_hand   ,yes
Falling asleep to the sound of screaming is truly a beautiful thing ,yes
Being a stress binge eater is such a good quality to have in college ,yes
I'm currently wearing cowboy boots & shorts & A nike jacket  ,yes
I literally wear leggings every day . ,yes
I love having a brother who never texts you back when you ask about your niece or to see how he is doing    OK_hand,yes
Great week going . Braves most likely eliminated & high stress . It's only just now Wednesday .  ,yes
God I love waking up for 8am classes ,yes
Please call your skinny self fat one more time . ,yes
I love how  is out tomorrow & my wifi decided to stop working .  unamused_face persevering_face angry_face,yes
The best part about being an adult  payday and paying bills .,yes
Gotta love the 8am morning class   But I'm done for the day now  ,yes
today should be fun ,yes
guess it was a great day to wear sandals ,yes
I just love how my floor leaks when it rains  ,yes
having fun in English lab ,yes
Really need a fag but haven't got time,yes
I love when my hip hurts ,yes
neighbors house just burnt down  ,yes
Family know how to make me feel good about myself ,yes
I just love getting shots syringe ,yes
nothing better then having mimi super pissed ,yes
Please keep telling me how i have huge lips for you know what . It's a real compliment . ,yes
Anyone torrent that new U2 album  I don't like to pay for music .,yes
Nothing like dropping your caseless IPhone in a bowl of humus . smiling_face_with_smiling_eyes  ,yes
Great teacher   Wyoming teacher suspended for 1 days over tweet about one of her students  ,yes
6 a . m . lifting right to 8 a . m . classes  got ta love college ,yes
Got to love it when my sister goes on my instagram and likes randomers pictures . ,yes
I love that finding the online readings I'm supposed to do for my class is like the worlds hardest scavenger hunt .  enraged_face,yes
Everyone freaked out and thought I wasn't coming to class today ,yes
I love when twitter follows people for me  ,yes
Great way to start off my morning ,yes
Illinois  finally  has legalized medical cannabis use    or     ,yes
I love how the credits for the 2014 Godzilla movie always speed past the Japanese names to focus on the western ones .,yes
I love those nights were everything runs through your head   ,yes
I love it when automatic doors don't feel like being very automatic D   ,yes
Oh how i love the sound of screaming babies in the morning  Afternoon and evening ,yes
And I'm so glad my insomnia is coming back . ,yes
Only 4 classes on my Fridays  Yay ,yes
Comforting to know my heel was bleeding the whole day .. ,yes
absolutely love how you don't speak in person but are so quick to text me with some  i miss you  smirking_face,yes
I seriously live being ignored . ,yes
Thank you alarm clock for never going off . ,yes
I always talked to him as an adult that's why he speak so well he's been talking like that since 1 I don't play no games education is a must,yes
People arguing politics on Facebook is the best unamused_face ,yes
I always enjoy it when I am having trouble navigating a women's clothing store because of the MEN hanging around in there . ,yes
I love when my ribs are out of place and it hurts to breathe .  weary_face loudly_crying_face,yes
I love when leaves the toilet seat up and I fall in    flushed_face,yes
I love that thing you do when you read my text and don't reply .. ,yes
I love having perpetually swollen ankles . It's awesome ,yes
Washing clothes fun fun ,yes
Excited for my tuesday schedule . My favorite .  ,yes
I love it when my roommates alarm clock goes off every 10 minutes ,yes
Best part of the night  getting throat punched .  ,yes
I mean it's not like I've been a British citizen from birth and now just want to get my daughter a passport   ,yes
Getting high of morphine at the hospital  ,yes
Nothing like a plug for a reality show on Raw .,yes
I should dress up for school more often laugh out loud ,yes
can't wait to go home and do my research paper   ,yes
9am  9pm work day done . oncoming_fist round 2 tomorrow  ,yes
I love it when I sleep through my alarm and i'm late for work  ,yes
I mean great news always come at the right time smiling_face_with_smiling_eyes ,yes
I just love when you act like this grinning_face_with_sweat ,yes
Don't you just LOVE when people put 0 effort into things ..  angry_face,yes
Can't wait for the season where everything is labeled  Pumpkin Spice  .,yes
"another day , another dollar .  disappointed_face grinning_face_with_big_eyes",yes
I love waiting in long lines for a parking permit ,yes
Everyone I speak to off the internet like ignores me after like a day so I'm just left here like um hi,yes
Been in the car for over an hour and I'm not at work yet . Gotta love those fools who forget how to drive in the rain . ,yes
I always forget how much it sucks to live in a country where everyone is provided education for free . broken_heart broken_heart ,yes
i love doing laundry,yes
I love waking up the the smell of weed in the morning ,yes
I'm just having the greatest luck tonight  OK_hand OK_hand OK_hand,yes
I love how everyone stopped texting me back unamused_face ,yes
A grown 60 year old woman having a tantrum at work . Cute  ,yes
Being forgotten is always fun . ,yes
I literally get paid to do my homework at work . ,yes
I just didn't have the staying power I should have last night .   asexualreference,yes
I love the fact that you can spend your day off taking selfies and hanging out with your boyfriend instead of with your kids ,yes
I love it when people help themselves to my stuff ..  unamused_face,yes
Thank you iOS 8 FOR deleting all my pictures i thank you from the bottom of my heart enraged_face enraged_face enraged_face ,yes
Haha whoever made this was preaching   call me a  if you want to,yes
Ever had a song speak to you so much that you're forced to sit in your car and listen to it  I love it when that happens .,yes
Don't you just love when you lock yourself out of your apartment ,yes
Nothing annoys me more than when people rerack the weights wrong  It's  that hard .,yes
Great start to my day smiling_face  ,yes
"Just so you know , I've decided I won't speak to and again . Because The Fucking Unicorn  I might stick to that 12 hours .",yes
And my professor told me to stay after lab today so she can speak to me pensive_face water_pistol,yes
I love working night shifts   ,yes
I love watching 2 people make out in class   face_with_medical_mask face_with_medical_mask,yes
Going to bed with these thoughts  Yay bring on the nightmares  ,yes
"I just love waking up to 16 messages , 7 snapchats , 4 miss calls  ",yes
I love those who want me to be  and then make themselves become a joke . ,yes
I'm in such a great mood today . ,yes
There's nothing worse than getting stuck in a busy Starbucks drivethrough line behind a chain smoker ,yes
I love it when I write a discussion post and it doesn't submit so I get to start over and try to remember what I said . ,yes
I literally need 9 points between Luck & Sproles tonight to win   ,yes
"Everybody is going home enyoing the sun_with_face , i not  amuses weary_face",yes
Nothing beats the feeling of walking in damp boxers all day at school  ,yes
Being an internet zombie is fun  ,yes
"Good thing we had this assembly because Bexley is SERIOUSLY suffering from drug addiction issues , right  ",yes
Good to know I wrote about Obama's argument for an immigration and very little has been done about it   ,yes
After a long stressful weekend I love having a busy day of classes and activities .   tired_face water_pistol,yes
Having to pace back and forth due to the revolving sprinklers    ,yes
"I love when every just assumes shit is try , instead of just asking about it ",yes
I love it when I'm in public and people stare at me because I'm on crutches   unamused_face angry_face,yes
I love it when you wash your vehicle in 5 minutes later a bug splatters all over yiur windshield . Gosh I love that shit . ,yes
Stop lights that let three cars through before turning yellow are awesome   ,yes
I love college smiling_face_with_smiling_eyes smiling_face_with_hearteyes ,yes
I'm so excited to wake up at 620 in the morning ,yes
Commerce insurance is expensive for no fucking reason  ,yes
Another fine visit to the dentist .,yes
Nothing like a good English class first thing in the morning  ,yes
I just love writing  page essays first thing in the morning on a Monday ,yes
I'll just have 2      ,yes
Woo let's go wrestling conditioning   ,yes
I love all the app update notifications I'm getting due to iOS 8 ' s launch tomorrow,yes
"Had a record four shots tonight . I know , I'm such a pro . ",yes
I love having swollen cheeks  unamused_face ,yes
Drunk People at the subway station . Fun  ,yes
I LOVE ALLSTATE AND PEOPLE WHO CA NY DRIVE AND RENTAL CARS AND INSURANCE AND CHATHAM PARKWAY TOYOTA THEY MAKE MY F  CKING DAY ,yes
Absolutely LOVE waking up to the sound of the garbage truck out my window   ,yes
Spending my day cleaning and going through my room  ,yes
I love that I have to delete 2.5 more gigs just so I can install an update ,yes
Hooray for being late to class and stuck in traffic    enraged_face,yes
I just noticed that I liked almost every post of yours in Instagram . I like your face too much haha    ,yes
I love being woken up at 8 0 in the morning to the sounds of drills and hammers ,yes
Another restless night  ,yes
I love walking into work and seeing this in my desk  At least I won't be bored,yes
Being at the hospital all day was the highlight of the day face_with_medical_mask ,yes
I love my landlords       ,yes
I love seeing the newest Big Sean track on my feed . ,yes
I am living for my Frnds ..  for you   ,yes
I like going to chem and learning about NASA .. ,yes
i like that first site lets you know when they're gonna come show your apartment  ,yes
6.15 am . Just got busted a new one by but still smiling laugh out loud  ,yes
"I love ppl who quote scripture while tweeting obnoxious , selfish , idiotic junk    ",yes
I love how I can pull all nighters not bc I want to but bc my body physically does not let me sleep  ,yes
The Doctors office today . How fun ,yes
I just love it when I use new face wash and my face breaks out in a rash ,yes
I love picking up shifts where everyone calls out  water_pistol water_pistol water_pistol  ,yes
I'll just eat a few then I'll put them away ,yes
"I am so fucked off , I don't understand why you all continuously speak about something that's nothing to do with you enraged_face",yes
Two tests one right after the other  ,yes
I love parking across campus and walking in the rain grinning_face_with_sweat water_pistol ,yes
Glad to know youre here to help when i need you  ,yes
I just love living in a haunted house .  neutral_face ghost,yes
I love how bruised my foot is . laugh out loud ,yes
I love when money was taken from my account and I have no idea where it went .   ,yes
I just love clinicals at this time of day  ,yes
I literally sat in my bed all night stareing at my wall crying and slept for maybe 20 minutes ,yes
Having soo much fun doing homework right now  _  ,yes
Nothing like creepy guys to make you feel like the hottest chick at 600 am .   ,yes
I love allergies soo much  ,yes
"To the guy who was just singing as he walked past our bedroom window , thank you very much for the wake up call  ",yes
Oh how i love being a klutz  ,yes
I seriously love when I can't sleep and wake up every single hour . ,yes
nothing captures her attention more than a lizard on the ceiling       ,yes
I like sitting at central by myself ,yes
I literally tell people not to sit by me in this class cause I hate them  ,yes
I have asked   that people who have a  with my   follow me .,yes
Gonna be a fun day ,yes
I am so appreciative for all the people who have come to speak to my Sports History class in the past or coming in the future  ,yes
Holy fuck am I ever in a bad mood .. Haha today will be great ,yes
I love it went I don't procrastinate and it still takes until 11 pm to finish my work ,yes
I love spending my whole day off doing homework ,yes
"As we speak is getting the meal of my choice delivered to me . So , yeah , I'm kind of a big deal .",yes
Nothing beats the feeling of being dropped  ,yes
An artist render of the world on Friday the 19th in the event of a  .  ,yes
"I love college  Except for the homework , exams , and late night studying .         ",yes
I have two tests tomorrow and I can't sleep . Woot woot unamused_face disappointed_face  ,yes
I'm glad I still get the text message and phone call for jessups fire drills .  ,yes
I just love getting inside headers . Beater inspection  Very therapeutic    ,yes
Good think I have a whole bunch of homework to do when I get back to my room ,yes
Good defending from Gibbs there . ,yes
I just love discussing the different types of suicide this early in the morning . ,yes
Good thing I have all of my fall clothes in NYC  ,yes
Good job by the referees tonight . ,yes
1 hour and 15 minute experiment after class smiling_face_with_smiling_eyes  ,yes
I literally get so turned off when guys say they want to cuddle ,yes
Nothing like a good text book read before bed  ___  ,yes
I love LA because you can leave 2 hours before work and get caught in a shutdown freeway and show up 0 minutes late  __ ,yes
I just love going on a long run and then coming home to spaghetti unamused_face  ,yes
"Accuracy in Obamaspeak means limiting rules of engagement , leaving people to be killed by ISIS just so we can say we are precise .",yes
oh how I love playing phone tag ,yes
Good thing the SAS advisors are so nice and helpful    ,yes
How did I get so lucky to have such a raging bitch in my life .,yes
I look forward to driving in this fog  For an hour . ,yes
Just introduced people at work to Smiling Pile of Poo Speak Selection on the iPhone . Laughing so hard I think I'm gonna spew .,yes
English this morning oh the joys,yes
Great person you are . face_with_tears_of_joy ,yes
I like that  It makes me want to vote yes   ,yes
I love how honest and open she is being about racism in media . So refreshing to not speak in code .,yes
Every Woman Republican Senator voted against the Equal Pay  Fairness Pay act  4 in total  . Well done GOP . Well done . ,yes
I love when Jonas wakes me up from a nap grinning_face_with_sweat ,yes
I just love working at mcdonalds so much laugh out loud I think I'm just gonna work here forever D laugh out loud ,yes
Good thing I asked for a caramel apple spice and got a cappuccino . Thanks a lot Starbucks . ,yes
Glad my dog chewed up the $ 40 bed I bought him ,yes
I literally took 20 mins to forgive out how to download a photo from my phone then attach it to an email face_with_tears_of_joy ,yes
"Good job to you , old man standing beside me in the elevator , openmouth chewing your gum .  ",yes
i am literally so sarcastic all the time that when i use the tag  even i dont know how to feel,yes
I know one of y'all want to make a Walmart Run for me this morning . Because I'm your favorite . ,yes
Anxiety attacks are just loads of fun ,yes
Good thing I have unlimited texting face_with_tears_of_joy  ,yes
I literally do not understand rush hour traffic . The tollway is huge . Why do I just sit here    ,yes
gotta love those random calls that you get from some random place in california    ,yes
At school at 7 in the morning and there's no place I'd rather be grinning_face_with_big_eyes grinning_face_with_big_eyes grinning_face_with_big_eyes ,yes
Getting ignored is my favorite thing in the world . ,yes
 I'll always be here .  face_with_tears_of_joy face_with_tears_of_joy ,yes
I just love having my body being a little boy's personal racing track  laugh out loud expressionless_face  ,yes
Bio is consuming my life   ,yes
Good to know I have my little bro's support ,yes
"I'm in such a bad mood , sorry about it . ",yes
Been in chem for an hr and 20 min and we have gotten through 7 slides  ,yes
Good thing I brought my headphones loudly_crying_face ,yes
I have a strong desire to burn my flat down while my Flatmates are sleeping .  ,yes
 bad days in a row  body you're doing great ,yes
Having such a great day ,yes
Don't you love when people cancel  flushed_face I do person_tipping_hand ,yes
I have twitter .  Maybe I'll make friends .  But probably not . ,yes
My most favorite view when I'm trying to get to work ,yes
Having all these retailers come into our classes to speak have me so excited to start working,yes
I just love it so much when you leave me on read smiling_face  ,yes
I love having writers block and a speech due tomorrow morning smiling_face_with_smiling_eyes  face_with_steam_from_nose,yes
I love it when I send her something about TFIOS  she obviously loves it too   ,yes
I'm so happy we have mature guys at this school ,yes
I just love it when my brackets come off my teeth relieved_face ,yes
"Ha ha yes  I recognise them all now . The same mob of crooks , thugs and misfits       ",yes
bitches be wear'n anything . Why in the mirror all obese think she sexy  ,yes
Great way to end the day ,yes
Exactly what I needed to cheer me up . Excellent . ,yes
I love how hypocritical he is face_with_tears_of_joy ,yes
AC has to be the biggest party campuses in America   ,yes
I love sleeping by myself  ,yes
I love teams who park the bus against us . ,yes
"Being defriended from Facebook , my heart is broken face_with_tears_of_joy   ",yes
"I love it when people drive by my house and either blast their music , or rev their engine . ",yes
I love how my phone facetimes random ppl whenever it wants  ,yes
If I ever am on time I literally deserve a million dollars and an award .  ,yes
"I love not having word on my computer its great , I can open up everything on blackboard . ",yes
Im so excited to wake up at 4 for my flight tomorrow  ,yes
being ignored  a million dollars because I love it so much . ,yes
I just love school board meetings relieved_face ,yes
"I love when people see others doing something cool , and then they start copying them . ",yes
I love it when my tumblr dashboard is filled with grey boxes . Saya .   Fifth On SingingBee,yes
Oh how I love getting lost in Bridgeport grinning_face_with_sweat ,yes
"Hahaha I hate everyone and today sucks . grinning_face_with_sweat Everyone please , don't ask me what's wrong all at once . ",yes
5 min before you leave for a meeting . And you grab the hairspray bottle instead of dry shampoo .    ,yes
Cracking my screen was a lovley way to start my morning ,yes
I should get a girlfriend award for managing to either tick my boyfriend off & make him upset all the time  .,yes
I love how Taco Bell in nky closes way before they are supposed to ,yes
"After all the things he's done and been accused of he finally gets suspended for one half by Jimbo Fisher , good job FS ",yes
I married a fucking Hpkins . But in my case literally  RT Ktie Hpkins . ,yes
guess what    i wrote a sentence for my chapter today  A SENTENCE  i feel so complete ,yes
"Had a weigh in with all our gear , I'm pushing a solid 260 pounds with all my gear on . thumbs_up flexed_biceps    ",yes
I love 8 a . m . ' s ,yes
Every test ever is taking place in the next two days     ,yes
I'm going to be so late on getting iOS 8    ,yes
I just love the drive back to Brookings ,yes
Biology exam at 140  WOO ,yes
I love being able to NOT FUCKING SLEEP . ,yes
I love waiting for cast lists . grinning_face_with_sweat thumbs_up ,yes
My day is off to a fantastic start ,yes
I like how everyone is tagging people on top people on top people on my IG ,yes
Nothing better than 9 hour car rides  ,yes
Glad I waited til 2 hours before I have lab then have to immediately do my seminar on my research to start it .  ,yes
Gonna spend my birthday at school tomorrow  weary_face tired_face  ,yes
anyone know if Liverpool are back in the champions league tonight  haven't seen anything about it  ,yes
adult halloween costumes are literally just kidsized costumes that are marketed as sexy   ,yes
"I just love it when pimples overtake my face , it just makes me feel all warm and cozy inside",yes
I know I'm not the only one with this problem unamused_face face_with_tears_of_joy   ,yes
Apparently I'm not that person   ,yes
I AM SO MAD THAT I COULDNT GET TICKETS TO CONCERT AHGHGSJGDJDVS   expressionless_face pensive_face loudly_crying_face tired_face,yes
"I love napping through the night , not an actual sleep just several naps .",yes
Luv walkin up 20 flights of stairs just 2 get 2 work . .,yes
Good thing the only numbers I know by heart are and loudly_crying_face water_pistol ,yes
and now I have strep . this week is awesome .  ,yes
Im Eating Una Sopa Huevona Right Now And Watching Cupcake Wars  Loving Life   ,yes
I just love starting out my morning with hard ass GSCI exam beaming_face_with_smiling_eyes ,yes
And I thought chugging coffee at 9 PM was a good idea  expressionless_face hot_beverage  ,yes
I just love when my classes get canceled .  now I don't have anything to do today ..,yes
I know Ive matured cuz in high school I woulda quit this Job already for lack of challenge & variety . Totally needed a degree for this ,yes
Because going running after I twisted my ankle was a great idea  ,yes
Got the unfollow from Tyler reed clapping_hands clapping_hands clapping_hands really hurt my feelings ,yes
Hawaii really feels like fall with pumpkin spice lattes offered at Starbucks,yes
Everyone here is so rude to me anyway . Not to generalise a nation but you don't need to speak down to me just cause I have a thick accent poultry_leg angry_face,yes
A coworker just told me i look tired and i said thanks and he was like that wasnt a compliment .. well that made my day so much better ,yes
I love it when my plans never fully happen  It is just the best thing ever ,yes
I literally can't wait to see live  they're my go to Pandora radio 'likeyou,yes
"Hello nightmares , I missed you ",yes
I love sharing two washing machines and two dryers with 74 girls   ,yes
Man I love being up early,yes
I'm just having the most greatest day  ,yes
Gotta love Mondays ,yes
I love when I miss the bus by 1 minute smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes ,yes
Good way to end my night ,yes
Having no power is great  Especially when my phones on 15 % and I need the dryer to work so I have clothes for work tomorrow .. ,yes
I LOVE when some of my texts get ignored . It's my ABSOLUTE favorite .  face_with_steam_from_nose angry_face,yes
I love when people mess with my office  ,yes
I love it when people are too lazy to do one little thing  ,yes
I just love hearing peoples opinions on things they know absolutely nothing about   angry_face,yes
Another student in this discussion class is literally arguing semantics about the views of Nazis and the Aryan race .  ,yes
Good to see the new cash out feature doesn't actually work .  ,yes
"Because we can kill viruses   Hypocrite Obama Decides to Send Troops Against Ebola , Not ISIS via",yes
Don't you just love Mondays     ,yes
And just in the unlikely event you've forgotten or are not aware of the'market Leaders ' convenient issues .,yes
Good thing those blown calls by the refs didn't affect the game much .  ,yes
A sucky day is about to end and ultimately lead to another sucky day . I'm just so excited .,yes
Yay for Toms tans  ,yes
